intime,outtime,Hourse
08:00 AM,05:00 PM,8.00
08:00 AM,05:15 PM,8.00
08:00 AM,05:30 PM,8.00
08:00 AM,05:45 PM,8.00
08:00 AM,06:00 PM,9.50
08:00 AM,06:15 PM,9.50
08:00 AM,06:30 PM,10.50
08:00 AM,06:45 PM,10.50
08:00 AM,07:00 PM,11.00
08:00 AM,07:15 PM,11.00
08:00 AM,07:30 PM,11.00
08:00 AM,07:45 PM,11.00
08:00 AM,08:00 PM,12.00
08:00 AM,08:15 PM,12.00
08:00 AM,08:30 PM,12.00
08:00 AM,08:45 PM,12.00
08:00 AM,09:00 PM,14.00
08:00 AM,09:15 PM,14.00
08:00 AM,09:30 PM,14.50
08:00 AM,09:45 PM,14.50
08:00 AM,10:00 PM,15.00
08:00 AM,10:15 PM,15.00
08:00 AM,10:30 PM,15.00
08:00 AM,10:45 PM,15.00
08:00 AM,11:00 PM,16.50
08:00 AM,11:15 PM,16.50
08:00 AM,11:30 PM,16.50
08:00 AM,11:45 PM,16.50
08:00 AM,12:00 AM,18.00
08:00 AM,12:15 AM,18.00
08:00 AM,12:30 AM,18.00
08:00 AM,12:45 AM,18.00
08:00 AM,01:00 AM,19.50
08:00 AM,01:15 AM,19.50
08:00 AM,01:30 AM,19.50
08:00 AM,01:45 AM,19.50
08:00 AM,02:00 AM,19.50
08:00 AM,02:15 AM,19.50
08:00 AM,02:30 AM,19.50
08:00 AM,02:45 AM,19.50
08:00 AM,03:00 AM,21.00
08:00 AM,03:15 AM,21.00
08:00 AM,03:30 AM,21.00
08:00 AM,03:45 AM,21.00
08:00 AM,04:00 AM,22.50
08:00 AM,04:15 AM,22.50
08:00 AM,04:30 AM,22.50
08:00 AM,04:45 AM,22.50
08:00 AM,05:00 AM,24.00
08:00 AM,05:15 AM,24.00
08:00 AM,05:30 AM,24.00
08:00 AM,05:45 AM,24.00
08:00 AM,06:00 AM,25.50
08:00 AM,06:15 AM,25.50
08:00 AM,06:30 AM,25.50
08:00 AM,06:45 AM,25.50
08:00 AM,07:00 AM,27.00
08:00 AM,07:15 AM,27.00
08:00 AM,07:30 AM,27.00
08:00 AM,07:45 AM,27.00
08:00 AM,08:00 AM,28.50
08:00 AM,08:15 AM,28.50
08:00 AM,08:30 AM,28.50
08:00 AM,08:45 AM,28.50
08:00 AM,09:00 AM,30.00
08:00 AM,09:15 AM,30.00
08:00 AM,09:30 AM,30.00
08:00 AM,09:45 AM,30.00
08:00 AM,10:00 AM,31.50
08:00 AM,10:15 AM,31.50
08:00 AM,10:30 AM,31.50
08:00 AM,10:45 AM,31.50
08:00 AM,11:00 AM,33.00
08:00 AM,11:15 AM,33.00
08:00 AM,11:30 AM,33.00
08:00 AM,11:45 AM,33.00
08:00 AM,12:00 PM,34.50
